plot_nums,manual_tree_count,official_tree_count,plot_density p/ m^2,totat_points,deafult_layer_stacking_treetop_count,layer_stacking_tree_count,exe_times,relative_error
2 3 4 5,341,119,577.25,2386444,178,,5.328476429,47.80058651
23,116,57,612.34,2324318,77,,3.524398327,33.62068966
41 42 43,376,121,596.75,4356832,266,,11.68846631,29.25531915
45,65,30,309.05,374426,46,,0.492357016,29.23076923
12 13 14,339,119,498.71,3554804,260,,10.46330929,23.30383481
17,142,48,547.37,1579781,113,,5.757975101,20.42253521
7,105,61,610.08,2375673,126,,4.882377625,20
32 36,236,120,588.94,5026949,282,,14.58802652,19.49152542
1,131,60,610.01,2762225,154,,6.167822838,17.55725191
18,157,46,367.82,1327334,183,,4.004772425,16.56050955
8 9,383,99,540.76,3695370,320,,14.98397017,16.44908616
15 16,195,60,519.7,1910451,168,,6.56144762,13.84615385
24,113,61,597.65,2109895,128,,4.873859406,13.27433628
38 40,275,91,622.92,4079639,244,,13.43794656,11.27272727
20,118,60,566.66,1589346,130,,4.638855934,10.16949153
29 30 31 33 34 35,308,251,575.82,5150418,277,,15.30363536,10.06493506
44,63,32,429.83,546723,69,,1.192913055,9.523809524
26 28,238,99,486.06,2344499,217,,7.955271244,8.823529412
6,134,59,576.5,2134171,124,,3.724416494,7.462686567
46 47 48,317,239,283.7,4077839,297,,10.77754092,6.309148265
25 27,195,97,502.09,2405107,189,,7.909434557,3.076923077
37 39,218,82,671.38,3897532,224,,11.23511529,2.752293578
22,117,60,395.98,1793803,114,,3.035257339,2.564102564
19,138,45,381.77,1368290,141,,3.028017044,2.173913043
21,111,61,390.22,1605179,113,,3.012125015,1.801801802
10 11 ,324,159,712.74,5064830,321,,21.48958588,0.925925926

